Strength 6, Cards:  11 11 11 11 11, Bid:  435, Rank:  1000, Winnings:  435000
Strength 3, Cards:   5 10  3 10 10, Bid:  639, Rank:   683, Winnings:  436437
Strength 3, Cards:   5  8 13 13 13, Bid:  269, Rank:   682, Winnings:  183458
Strength 3, Cards:   5  6  9  9  9, Bid:  796, Rank:   681, Winnings:  542076
Strength 3, Cards:   5  6  6  6 13, Bid:  953, Rank:   680, Winnings:  648040
Strength 3, Cards:   5  6  6  6  7, Bid:  532, Rank:   679, Winnings:  361228
Strength 3, Cards:   5  5 14  5 10, Bid:  315, Rank:   678, Winnings:  213570
Strength 3, Cards:   5  5 11  5  2, Bid:  817, Rank:   677, Winnings:  553109
Strength 3, Cards:   5  5 10  5  9, Bid:  599, Rank:   676, Winnings:  404924
Strength 3, Cards:   5  5  7  5  4, Bid:  396, Rank:   675, Winnings:  267300
Strength 3, Cards:   5  5  6 12  5, Bid:  707, Rank:   674, Winnings:  476518
Strength 3, Cards:   5  5  6  5 13, Bid:  835, Rank:   673, Winnings:  561955
Strength 3, Cards:   5  5  5 11  4, Bid:  872, Rank:   672, Winnings:  585984
Strength 3, Cards:   5  5  5  8 11, Bid:  470, Rank:   671, Winnings:  315370
Strength 3, Cards:   5  3  5 10  5, Bid: 1000, Rank:   670, Winnings:  670000
Strength 3, Cards:   5  3  5  9  5, Bid:  385, Rank:   669, Winnings:  257565
Strength 3, Cards:   4 14  4  4  7, Bid:  182, Rank:   668, Winnings:  121576
Strength 3, Cards:   4 11  4 10  4, Bid:  821, Rank:   667, Winnings:  547607
Strength 3, Cards:   4 11  2  2  2, Bid:  299, Rank:   666, Winnings:  199134
Strength 3, Cards:   4 10  4  4  8, Bid:  175, Rank:   665, Winnings:  116375
Strength 3, Cards:   4 10  2  2  2, Bid:  493, Rank:   664, Winnings:  327352
Strength 3, Cards:   4  9  9 11  9, Bid:  556, Rank:   663, Winnings:  368628
Strength 3, Cards:   4  4 11 12  4, Bid:  306, Rank:   662, Winnings:  202572
Strength 3, Cards:   4  4  8  4 11, Bid:  292, Rank:   661, Winnings:  193012
Strength 3, Cards:   4  4  3  4  2, Bid:  969, Rank:   660, Winnings:  639540
Strength 3, Cards:   4  2  6  2  2, Bid:  680, Rank:   659, Winnings:  448120
Strength 3, Cards:   3 14 14  6 14, Bid:  359, Rank:   658, Winnings:  236222
Strength 3, Cards:   3 13 13 13  2, Bid:  979, Rank:   657, Winnings:  643203
Strength 3, Cards:   3 11 14 14 14, Bid:  892, Rank:   656, Winnings:  585152
Strength 3, Cards:   3 11  3 14  3, Bid:  965, Rank:   655, Winnings:  632075
Strength 3, Cards:   3 10  9 10 10, Bid:  441, Rank:   654, Winnings:  288414
Strength 3, Cards:   3 10  9  9  9, Bid:  225, Rank:   653, Winnings:  146925
Strength 3, Cards:   3  9  2  2  2, Bid:  387, Rank:   652, Winnings:  252324
Strength 3, Cards:   3  8  8 14  8, Bid:  873, Rank:   651, Winnings:  568323
Strength 3, Cards:   3  8  8  8 13, Bid:  728, Rank:   650, Winnings:  473200
Strength 3, Cards:   3  7  8  7  7, Bid:  302, Rank:   649, Winnings:  195998
Strength 3, Cards:   3  6  6  6 13, Bid:  430, Rank:   648, Winnings:  278640
Strength 3, Cards:   3  6  4  4  4, Bid:   90, Rank:   647, Winnings:   58230
Strength 3, Cards:   3  5  5  5 11, Bid:  462, Rank:   646, Winnings:  298452
Strength 3, Cards:   3  5  3 13  3, Bid:  216, Rank:   645, Winnings:  139320
Strength 3, Cards:   3  3 14 13  3, Bid:   97, Rank:   644, Winnings:   62468
Strength 3, Cards:   3  3 11  3  8, Bid:  165, Rank:   643, Winnings:  106095
Strength 3, Cards:   3  3  5  3  7, Bid:  993, Rank:   642, Winnings:  637506
Strength 3, Cards:   3  3  3 13 11, Bid:  334, Rank:   641, Winnings:  214094
Strength 3, Cards:   3  3  3 11  6, Bid:  178, Rank:   640, Winnings:  113920
Strength 3, Cards:   3  3  3 10 14, Bid:  557, Rank:   639, Winnings:  355923
Strength 3, Cards:   3  3  2  3  5, Bid:   80, Rank:   638, Winnings:   51040
Strength 3, Cards:   3  2  8  8  8, Bid:   30, Rank:   637, Winnings:   19110
Strength 3, Cards:   2 11  2  7  2, Bid:  110, Rank:   636, Winnings:   69960
Strength 3, Cards:   2 10 10 14 10, Bid:   91, Rank:   635, Winnings:   57785
Strength 3, Cards:   2  8  2 10  2, Bid:  506, Rank:   634, Winnings:  320804
Strength 3, Cards:   2  4  9  9  9, Bid:  933, Rank:   633, Winnings:  590589
Strength 3, Cards:   2  4  9  4  4, Bid:  742, Rank:   632, Winnings:  468944
Strength 3, Cards:   2  3  3  3  9, Bid:  682, Rank:   631, Winnings:  430342
Strength 3, Cards:   2  2 14  2  6, Bid:  137, Rank:   630, Winnings:   86310
Strength 3, Cards:   2  2  6  2  7, Bid:  807, Rank:   629, Winnings:  507603
Strength 3, Cards:   2  2  2 13 10, Bid:  589, Rank:   628, Winnings:  369892
Strength 3, Cards:   2  2  2 10 11, Bid:  375, Rank:   627, Winnings:  235125
Strength 3, Cards:   2  2  2  9  7, Bid:  422, Rank:   626, Winnings:  264172
Strength 2, Cards:  14 14 13  2  2, Bid:  819, Rank:   625, Winnings:  511875
Strength 2, Cards:  14 14 12  4 12, Bid:   39, Rank:   624, Winnings:   24336
Strength 2, Cards:  14 13 14 13  7, Bid:  164, Rank:   623, Winnings:  102172
Strength 2, Cards:  14 12 12  7  7, Bid:  202, Rank:   622, Winnings:  125644
Strength 2, Cards:  14 12 12  4  4, Bid:    5, Rank:   621, Winnings:    3105
Strength 2, Cards:  14 12  9  9 12, Bid:  263, Rank:   620, Winnings:  163060
Strength 2, Cards:  14 11  8 11 14, Bid:   16, Rank:   619, Winnings:    9904
Strength 2, Cards:  14  9  9  2 14, Bid:  613, Rank:   618, Winnings:  378834
Strength 2, Cards:  14  9  5 14  5, Bid:  885, Rank:   617, Winnings:  546045
Strength 2, Cards:  14  6  6  2 14, Bid:  548, Rank:   616, Winnings:  337568
Strength 2, Cards:  14  5  2 14  2, Bid:  636, Rank:   615, Winnings:  391140
Strength 2, Cards:  13 14 14  9  9, Bid:   67, Rank:   614, Winnings:   41138
Strength 2, Cards:  13 14 13 14  8, Bid:  380, Rank:   613, Winnings:  232940
Strength 2, Cards:  13 14 13 10 14, Bid:  634, Rank:   612, Winnings:  388008
Strength 2, Cards:  13 13  5  5 11, Bid:  455, Rank:   611, Winnings:  278005
Strength 2, Cards:  13 11 13  4  4, Bid:  631, Rank:   610, Winnings:  384910
Strength 2, Cards:  13  9  9  7  7, Bid:  789, Rank:   609, Winnings:  480501
Strength 2, Cards:  13  7 14 14  7, Bid:  681, Rank:   608, Winnings:  414048
Strength 2, Cards:  13  7  3  3 13, Bid:  793, Rank:   607, Winnings:  481351
Strength 2, Cards:  13  2 13  2 11, Bid:  918, Rank:   606, Winnings:  556308
Strength 2, Cards:  13  2  2  5  5, Bid:  971, Rank:   605, Winnings:  587455
Strength 2, Cards:  12 13 12  4 13, Bid:  856, Rank:   604, Winnings:  517024
Strength 2, Cards:  12 13  5  5 13, Bid:  230, Rank:   603, Winnings:  138690
Strength 2, Cards:  12 13  3 13 12, Bid:   56, Rank:   602, Winnings:   33712
Strength 2, Cards:  12 10 10  4 12, Bid:  564, Rank:   601, Winnings:  338964
Strength 2, Cards:  12  9  9 11 12, Bid:  950, Rank:   600, Winnings:  570000
Strength 2, Cards:  12  8  5  5 12, Bid:  352, Rank:   599, Winnings:  210848
Strength 2, Cards:  12  8  2  8 12, Bid:  231, Rank:   598, Winnings:  138138
Strength 2, Cards:  12  7 12  7  2, Bid:  776, Rank:   597, Winnings:  463272
Strength 2, Cards:  12  7 11 12  7, Bid:  257, Rank:   596, Winnings:  153172
Strength 2, Cards:  12  7  4 12  4, Bid:  490, Rank:   595, Winnings:  291550
Strength 2, Cards:  12  6 10 10  6, Bid:  574, Rank:   594, Winnings:  340956
Strength 2, Cards:  12  2 12 13  2, Bid:  748, Rank:   593, Winnings:  443564
Strength 2, Cards:  11 14 14 10 10, Bid:  706, Rank:   592, Winnings:  417952
Strength 2, Cards:  11 13 13 14 14, Bid:  159, Rank:   591, Winnings:   93969
Strength 2, Cards:  11 13 13 11  8, Bid:  300, Rank:   590, Winnings:  177000
Strength 2, Cards:  11 13 11  4 13, Bid:  150, Rank:   589, Winnings:   88350
Strength 2, Cards:  11 11 14 14 13, Bid:  337, Rank:   588, Winnings:  198156
Strength 2, Cards:  11 11  6 12  6, Bid:  714, Rank:   587, Winnings:  419118
Strength 2, Cards:  11 10 10 13 13, Bid:  206, Rank:   586, Winnings:  120716
Strength 2, Cards:  11  9  9 10 10, Bid:  987, Rank:   585, Winnings:  577395
Strength 2, Cards:  11  8  8 13 13, Bid:  623, Rank:   584, Winnings:  363832
Strength 2, Cards:  11  7 11  7  2, Bid:  480, Rank:   583, Winnings:  279840
Strength 2, Cards:  11  7  9  9  7, Bid:  601, Rank:   582, Winnings:  349782
Strength 2, Cards:  11  7  3  7 11, Bid:  412, Rank:   581, Winnings:  239372
Strength 2, Cards:  11  6 12  6 12, Bid:  843, Rank:   580, Winnings:  488940
Strength 2, Cards:  11  6  6 11  5, Bid:  401, Rank:   579, Winnings:  232179
Strength 2, Cards:  11  5 10 11  5, Bid:  725, Rank:   578, Winnings:  419050
Strength 2, Cards:  11  4 11  4 13, Bid:   11, Rank:   577, Winnings:    6347
Strength 2, Cards:  11  3 11 10 10, Bid:   89, Rank:   576, Winnings:   51264
Strength 2, Cards:  11  3  6  6  3, Bid:  812, Rank:   575, Winnings:  466900
Strength 2, Cards:  11  3  3 13 11, Bid:  587, Rank:   574, Winnings:  336938
Strength 2, Cards:  11  3  3  9 11, Bid:  377, Rank:   573, Winnings:  216021
Strength 2, Cards:  11  3  3  7  7, Bid:  877, Rank:   572, Winnings:  501644
Strength 2, Cards:  11  2  7  2 11, Bid:  308, Rank:   571, Winnings:  175868
Strength 2, Cards:  10 14  9  9 14, Bid:  712, Rank:   570, Winnings:  405840
Strength 2, Cards:  10 14  6 14  6, Bid:   46, Rank:   569, Winnings:   26174
Strength 2, Cards:  10 14  3 14 10, Bid:  290, Rank:   568, Winnings:  164720
Strength 2, Cards:  10 13 12 13 10, Bid:  260, Rank:   567, Winnings:  147420
Strength 2, Cards:  10 11 10 11 13, Bid:   96, Rank:   566, Winnings:   54336
Strength 2, Cards:  10 11 10  2  2, Bid:  664, Rank:   565, Winnings:  375160
Strength 2, Cards:  10 10 13 13 14, Bid:  193, Rank:   564, Winnings:  108852
Strength 2, Cards:  10 10  8  7  8, Bid:  371, Rank:   563, Winnings:  208873
Strength 2, Cards:  10 10  4 13 13, Bid:  501, Rank:   562, Winnings:  281562
Strength 2, Cards:  10  9  7 10  9, Bid:  527, Rank:   561, Winnings:  295647
Strength 2, Cards:  10  8 10  2  8, Bid:  880, Rank:   560, Winnings:  492800
Strength 2, Cards:  10  8  8 10 11, Bid:  594, Rank:   559, Winnings:  332046
Strength 2, Cards:  10  7 11 10  7, Bid:  744, Rank:   558, Winnings:  415152
Strength 2, Cards:  10  7  3  3 10, Bid:  264, Rank:   557, Winnings:  147048
Strength 2, Cards:  10  6 10  2  2, Bid:  931, Rank:   556, Winnings:  517636
Strength 2, Cards:  10  6  6 10  7, Bid:  332, Rank:   555, Winnings:  184260
Strength 2, Cards:  10  4  4 10  9, Bid:  503, Rank:   554, Winnings:  278662
Strength 2, Cards:  10  3  5 10  3, Bid:  221, Rank:   553, Winnings:  122213
Strength 2, Cards:  10  3  4 10  4, Bid:  520, Rank:   552, Winnings:  287040
Strength 2, Cards:  10  3  3  6  6, Bid:  197, Rank:   551, Winnings:  108547
Strength 2, Cards:   9 14  8  8 14, Bid:  691, Rank:   550, Winnings:  380050
Strength 2, Cards:   9 14  3  3 14, Bid:  876, Rank:   549, Winnings:  480924
Strength 2, Cards:   9 13  9  5  5, Bid:  528, Rank:   548, Winnings:  289344
Strength 2, Cards:   9 11  9 13 13, Bid:  765, Rank:   547, Winnings:  418455
Strength 2, Cards:   9 10  9 13 13, Bid:  690, Rank:   546, Winnings:  376740
Strength 2, Cards:   9 10  5  9 10, Bid:  833, Rank:   545, Winnings:  453985
Strength 2, Cards:   9  9  6  4  4, Bid:  964, Rank:   544, Winnings:  524416
Strength 2, Cards:   9  6  6 12  9, Bid:   41, Rank:   543, Winnings:   22263
Strength 2, Cards:   9  5  5  9  6, Bid:  276, Rank:   542, Winnings:  149592
Strength 2, Cards:   9  4  9  4 11, Bid:  901, Rank:   541, Winnings:  487441
Strength 2, Cards:   9  4  7  9  7, Bid:  417, Rank:   540, Winnings:  225180
Strength 2, Cards:   8 13  8  3 13, Bid:  630, Rank:   539, Winnings:  339570
Strength 2, Cards:   8  9 14 14  9, Bid:  468, Rank:   538, Winnings:  251784
Strength 2, Cards:   8  9  5  5  8, Bid:  467, Rank:   537, Winnings:  250779
Strength 2, Cards:   8  8 14 12 12, Bid:  524, Rank:   536, Winnings:  280864
Strength 2, Cards:   8  8 11 10 11, Bid:  518, Rank:   535, Winnings:  277130
Strength 2, Cards:   8  8  9  9 11, Bid:  270, Rank:   534, Winnings:  144180
Strength 2, Cards:   8  7  8 13  7, Bid:  381, Rank:   533, Winnings:  203073
Strength 2, Cards:   8  7  6  6  7, Bid:  210, Rank:   532, Winnings:  111720
Strength 2, Cards:   8  6  6 14 14, Bid:  333, Rank:   531, Winnings:  176823
Strength 2, Cards:   8  6  6  7  8, Bid:  428, Rank:   530, Winnings:  226840
Strength 2, Cards:   8  4 14 14  8, Bid:  985, Rank:   529, Winnings:  521065
Strength 2, Cards:   7 13  7 13  6, Bid:  121, Rank:   528, Winnings:   63888
Strength 2, Cards:   7 13  7 12 13, Bid:  605, Rank:   527, Winnings:  318835
Strength 2, Cards:   7 11 11 14  7, Bid:  619, Rank:   526, Winnings:  325594
Strength 2, Cards:   7 11 11 10  7, Bid:    1, Rank:   525, Winnings:     525
Strength 2, Cards:   7 10 13 13  7, Bid:  336, Rank:   524, Winnings:  176064
Strength 2, Cards:   7  9  8  8  7, Bid:  497, Rank:   523, Winnings:  259931
Strength 2, Cards:   7  7  8  8 11, Bid:  433, Rank:   522, Winnings:  226026
Strength 2, Cards:   7  7  2 11  2, Bid:  788, Rank:   521, Winnings:  410548
Strength 2, Cards:   7  5  7  8  5, Bid:  307, Rank:   520, Winnings:  159640
Strength 2, Cards:   7  4  7 11  4, Bid:  942, Rank:   519, Winnings:  488898
Strength 2, Cards:   6 14  9 14  9, Bid:  348, Rank:   518, Winnings:  180264
Strength 2, Cards:   6 13 13  9  9, Bid:  186, Rank:   517, Winnings:   96162
Strength 2, Cards:   6 12 12 10 10, Bid:  573, Rank:   516, Winnings:  295668
Strength 2, Cards:   6 12  6  2 12, Bid:  437, Rank:   515, Winnings:  225055
Strength 2, Cards:   6  9  8  8  9, Bid:  741, Rank:   514, Winnings:  380874
Strength 2, Cards:   6  9  8  6  8, Bid:  322, Rank:   513, Winnings:  165186
Strength 2, Cards:   6  9  7  7  6, Bid:  684, Rank:   512, Winnings:  350208
Strength 2, Cards:   6  9  6  9  2, Bid:  294, Rank:   511, Winnings:  150234
Strength 2, Cards:   6  7  4  6  4, Bid:  297, Rank:   510, Winnings:  151470
Strength 2, Cards:   6  6 11  8  8, Bid:  895, Rank:   509, Winnings:  455555
Strength 2, Cards:   6  6 11  5  5, Bid:  828, Rank:   508, Winnings:  420624
Strength 2, Cards:   6  6  7 11  7, Bid:  871, Rank:   507, Winnings:  441597
Strength 2, Cards:   6  6  5  5  9, Bid:  134, Rank:   506, Winnings:   67804
Strength 2, Cards:   6  2 13  6  2, Bid:  675, Rank:   505, Winnings:  340875
Strength 2, Cards:   5 14  5 11 14, Bid:  738, Rank:   504, Winnings:  371952
Strength 2, Cards:   5 12 12  4  5, Bid:  638, Rank:   503, Winnings:  320914
Strength 2, Cards:   5 11  5  9  9, Bid:  912, Rank:   502, Winnings:  457824
Strength 2, Cards:   5 11  5  2 11, Bid:    9, Rank:   501, Winnings:    4509
Strength 2, Cards:   5 10 10 12  5, Bid:  983, Rank:   500, Winnings:  491500
Strength 2, Cards:   5 10 10  5 13, Bid:  326, Rank:   499, Winnings:  162674
Strength 2, Cards:   5 10  5 10 11, Bid:  184, Rank:   498, Winnings:   91632
Strength 2, Cards:   5  9  9 14 14, Bid:  172, Rank:   497, Winnings:   85484
Strength 2, Cards:   5  8  4  8  4, Bid:  715, Rank:   496, Winnings:  354640
Strength 2, Cards:   5  7 13  5 13, Bid:  217, Rank:   495, Winnings:  107415
Strength 2, Cards:   5  7 11  7  5, Bid:  596, Rank:   494, Winnings:  294424
Strength 2, Cards:   5  6  5  6  8, Bid:  397, Rank:   493, Winnings:  195721
Strength 2, Cards:   5  5 14  3 14, Bid:  868, Rank:   492, Winnings:  427056
Strength 2, Cards:   5  5  9  9  2, Bid:  586, Rank:   491, Winnings:  287726
Strength 2, Cards:   5  5  7 14  7, Bid:  834, Rank:   490, Winnings:  408660
Strength 2, Cards:   5  5  7  7  2, Bid:  399, Rank:   489, Winnings:  195111
Strength 2, Cards:   5  4  5  4  8, Bid:  222, Rank:   488, Winnings:  108336
Strength 2, Cards:   5  3  5  4  3, Bid:  530, Rank:   487, Winnings:  258110
Strength 2, Cards:   5  3  2  5  2, Bid:  785, Rank:   486, Winnings:  381510
Strength 2, Cards:   5  2  7  2  5, Bid:  860, Rank:   485, Winnings:  417100
Strength 2, Cards:   4 14 13 14 13, Bid:  633, Rank:   484, Winnings:  306372
Strength 2, Cards:   4 14  6  6  4, Bid:  952, Rank:   483, Winnings:  459816
Strength 2, Cards:   4 13 13  3  3, Bid:  753, Rank:   482, Winnings:  362946
Strength 2, Cards:   4 13  7  7  4, Bid:  992, Rank:   481, Winnings:  477152
Strength 2, Cards:   4 13  2  4 13, Bid:  826, Rank:   480, Winnings:  396480
Strength 2, Cards:   4 13  2  2 13, Bid:  541, Rank:   479, Winnings:  259139
Strength 2, Cards:   4 12 12  3  4, Bid:  745, Rank:   478, Winnings:  356110
Strength 2, Cards:   4 11 11  4 14, Bid:  898, Rank:   477, Winnings:  428346
Strength 2, Cards:   4 10  4  9  9, Bid:  118, Rank:   476, Winnings:   56168
Strength 2, Cards:   4  7  4  7 10, Bid:   26, Rank:   475, Winnings:   12350
Strength 2, Cards:   4  5 13  4  5, Bid:   37, Rank:   474, Winnings:   17538
Strength 2, Cards:   4  5  5 11  4, Bid:  550, Rank:   473, Winnings:  260150
Strength 2, Cards:   4  4 13 13  6, Bid:   14, Rank:   472, Winnings:    6608
Strength 2, Cards:   3 14 12 12  3, Bid:  784, Rank:   471, Winnings:  369264
Strength 2, Cards:   3 12 10  3 12, Bid:  611, Rank:   470, Winnings:  287170
Strength 2, Cards:   3 11 10 11  3, Bid:  722, Rank:   469, Winnings:  338618
Strength 2, Cards:   3 11  9  9 11, Bid:   98, Rank:   468, Winnings:   45864
Strength 2, Cards:   3 10 11  3 10, Bid:  919, Rank:   467, Winnings:  429173
Strength 2, Cards:   3  7 12  3  7, Bid:  169, Rank:   466, Winnings:   78754
Strength 2, Cards:   3  5 12  5 12, Bid:  111, Rank:   465, Winnings:   51615
Strength 2, Cards:   3  4 13 13  4, Bid:  791, Rank:   464, Winnings:  367024
Strength 2, Cards:   3  3  7  7  6, Bid:  878, Rank:   463, Winnings:  406514
Strength 2, Cards:   3  3  5  5 11, Bid:  316, Rank:   462, Winnings:  145992
Strength 2, Cards:   3  2 12  3 12, Bid:  342, Rank:   461, Winnings:  157662
Strength 2, Cards:   2 12  2 10 12, Bid:  972, Rank:   460, Winnings:  447120
Strength 2, Cards:   2 12  2  9 12, Bid:  778, Rank:   459, Winnings:  357102
Strength 2, Cards:   2 11  9  9  2, Bid:  244, Rank:   458, Winnings:  111752
Strength 2, Cards:   2 11  2 11  5, Bid:  801, Rank:   457, Winnings:  366057
Strength 2, Cards:   2 11  2  8  8, Bid:  313, Rank:   456, Winnings:  142728
Strength 2, Cards:   2 10 13  2 13, Bid:  975, Rank:   455, Winnings:  443625
Strength 2, Cards:   2  9 13  9  2, Bid:  205, Rank:   454, Winnings:   93070
Strength 2, Cards:   2  9  7  2  9, Bid:  353, Rank:   453, Winnings:  159909
Strength 2, Cards:   2  9  3  2  3, Bid:  309, Rank:   452, Winnings:  139668
Strength 2, Cards:   2  9  2  9  5, Bid:   45, Rank:   451, Winnings:   20295
Strength 2, Cards:   2  7  7  2 14, Bid:  896, Rank:   450, Winnings:  403200
Strength 2, Cards:   2  3  3 14  2, Bid:  321, Rank:   449, Winnings:  144129
Strength 2, Cards:   2  3  3  2 11, Bid:  113, Rank:   448, Winnings:   50624
Strength 2, Cards:   2  2 14 14  4, Bid:  533, Rank:   447, Winnings:  238251
Strength 2, Cards:   2  2 14 13 13, Bid:  561, Rank:   446, Winnings:  250206
Strength 2, Cards:   2  2  5 13 13, Bid:  189, Rank:   445, Winnings:   84105
Strength 1, Cards:  14 14  9  7  8, Bid:   64, Rank:   444, Winnings:   28416
Strength 1, Cards:  14 12 11 10 14, Bid:  838, Rank:   443, Winnings:  371234
Strength 1, Cards:  14 11  5  3 14, Bid:  672, Rank:   442, Winnings:  297024
Strength 1, Cards:  14 11  4  3  3, Bid:  378, Rank:   441, Winnings:  166698
Strength 1, Cards:  14  8 14  6 12, Bid:  122, Rank:   440, Winnings:   53680
Strength 1, Cards:  14  8  2  8  5, Bid:  840, Rank:   439, Winnings:  368760
Strength 1, Cards:  14  7 11 12 14, Bid:  651, Rank:   438, Winnings:  285138
Strength 1, Cards:  14  6  9 11  9, Bid:  180, Rank:   437, Winnings:   78660
Strength 1, Cards:  14  4  9  6 14, Bid:  609, Rank:   436, Winnings:  265524
Strength 1, Cards:  14  4  6 14  8, Bid:  319, Rank:   435, Winnings:  138765
Strength 1, Cards:  14  4  3 14  9, Bid:  349, Rank:   434, Winnings:  151466
Strength 1, Cards:  14  3  2 11 11, Bid:   55, Rank:   433, Winnings:   23815
Strength 1, Cards:  14  2 14 12  6, Bid:  272, Rank:   432, Winnings:  117504
Strength 1, Cards:  14  2 14  9  5, Bid:  936, Rank:   431, Winnings:  403416
Strength 1, Cards:  14  2 11  2  4, Bid:  274, Rank:   430, Winnings:  117820
Strength 1, Cards:  14  2  6 11  2, Bid:  531, Rank:   429, Winnings:  227799
Strength 1, Cards:  13 14 13  8  7, Bid:  124, Rank:   428, Winnings:   53072
Strength 1, Cards:  13 14 10  4 14, Bid:  543, Rank:   427, Winnings:  231861
Strength 1, Cards:  13 14  6  9 14, Bid:  403, Rank:   426, Winnings:  171678
Strength 1, Cards:  13 13 11  9 12, Bid:  432, Rank:   425, Winnings:  183600
Strength 1, Cards:  13 13 10  7  8, Bid:  284, Rank:   424, Winnings:  120416
Strength 1, Cards:  13 11 12  8  8, Bid:  625, Rank:   423, Winnings:  264375
Strength 1, Cards:  13 10  7  7 11, Bid:  427, Rank:   422, Winnings:  180194
Strength 1, Cards:  13 10  3 13  8, Bid:  585, Rank:   421, Winnings:  246285
Strength 1, Cards:  13  8 13 12  5, Bid:  484, Rank:   420, Winnings:  203280
Strength 1, Cards:  13  8  9  8 11, Bid:  553, Rank:   419, Winnings:  231707
Strength 1, Cards:  13  8  2  8  5, Bid:  879, Rank:   418, Winnings:  367422
Strength 1, Cards:  13  7 12 14 14, Bid:   20, Rank:   417, Winnings:    8340
Strength 1, Cards:  13  7  8  7 12, Bid:  296, Rank:   416, Winnings:  123136
Strength 1, Cards:  13  7  7  9  6, Bid:  637, Rank:   415, Winnings:  264355
Strength 1, Cards:  13  7  5 11 13, Bid:  669, Rank:   414, Winnings:  276966
Strength 1, Cards:  13  4 13 10  7, Bid:  355, Rank:   413, Winnings:  146615
Strength 1, Cards:  13  4  5  7  7, Bid:  772, Rank:   412, Winnings:  318064
Strength 1, Cards:  13  3 11  5 13, Bid:  279, Rank:   411, Winnings:  114669
Strength 1, Cards:  13  3  6  6  5, Bid:  237, Rank:   410, Winnings:   97170
Strength 1, Cards:  12 12 11  3  7, Bid:  120, Rank:   409, Winnings:   49080
Strength 1, Cards:  12 11 10 10  2, Bid:  614, Rank:   408, Winnings:  250512
Strength 1, Cards:  12 11  3  8 11, Bid:   68, Rank:   407, Winnings:   27676
Strength 1, Cards:  12 10 12  9  5, Bid:  170, Rank:   406, Winnings:   69020
Strength 1, Cards:  12  8  6  6 10, Bid:   36, Rank:   405, Winnings:   14580
Strength 1, Cards:  12  8  2  2  5, Bid:  943, Rank:   404, Winnings:  380972
Strength 1, Cards:  12  7  2  7 14, Bid:  278, Rank:   403, Winnings:  112034
Strength 1, Cards:  12  4 13 11 13, Bid:  733, Rank:   402, Winnings:  294666
Strength 1, Cards:  12  4 12  8  5, Bid:  115, Rank:   401, Winnings:   46115
Strength 1, Cards:  12  4  4 11  2, Bid:  719, Rank:   400, Winnings:  287600
Strength 1, Cards:  12  3  6  2 12, Bid:  958, Rank:   399, Winnings:  382242
Strength 1, Cards:  12  2  3 14  2, Bid:  183, Rank:   398, Winnings:   72834
Strength 1, Cards:  12  2  2  5  3, Bid:  810, Rank:   397, Winnings:  321570
Strength 1, Cards:  11 14  9  6 14, Bid:  806, Rank:   396, Winnings:  319176
Strength 1, Cards:  11 14  7  7  4, Bid:  687, Rank:   395, Winnings:  271365
Strength 1, Cards:  11 14  7  2  7, Bid:  236, Rank:   394, Winnings:   92984
Strength 1, Cards:  11 14  3  3  8, Bid:  125, Rank:   393, Winnings:   49125
Strength 1, Cards:  11 13 13  9  3, Bid:  511, Rank:   392, Winnings:  200312
Strength 1, Cards:  11 13 13  6 12, Bid:  253, Rank:   391, Winnings:   98923
Strength 1, Cards:  11 13  8 14  8, Bid:  373, Rank:   390, Winnings:  145470
Strength 1, Cards:  11 13  6 14 14, Bid:  133, Rank:   389, Winnings:   51737
Strength 1, Cards:  11 13  5  5 12, Bid:   85, Rank:   388, Winnings:   32980
Strength 1, Cards:  11 13  2  6 13, Bid:  658, Rank:   387, Winnings:  254646
Strength 1, Cards:  11 12  3 13 12, Bid:  981, Rank:   386, Winnings:  378666
Strength 1, Cards:  11 12  3  7  3, Bid:  286, Rank:   385, Winnings:  110110
Strength 1, Cards:  11 11 10 12  5, Bid:  344, Rank:   384, Winnings:  132096
Strength 1, Cards:  11 11  8  9  7, Bid:  899, Rank:   383, Winnings:  344317
Strength 1, Cards:  11 11  4  5 14, Bid:  903, Rank:   382, Winnings:  344946
Strength 1, Cards:  11 10 14 14  5, Bid:  762, Rank:   381, Winnings:  290322
Strength 1, Cards:  11 10 13 13  4, Bid:  400, Rank:   380, Winnings:  152000
Strength 1, Cards:  11 10  9 10  7, Bid:  700, Rank:   379, Winnings:  265300
Strength 1, Cards:  11 10  8 13 13, Bid:  959, Rank:   378, Winnings:  362502
Strength 1, Cards:  11 10  2 10  7, Bid:  756, Rank:   377, Winnings:  285012
Strength 1, Cards:  11  9 11  7 12, Bid:  219, Rank:   376, Winnings:   82344
Strength 1, Cards:  11  8  7  2  8, Bid:  686, Rank:   375, Winnings:  257250
Strength 1, Cards:  11  7 13 13 12, Bid:  358, Rank:   374, Winnings:  133892
Strength 1, Cards:  11  7  8  9  8, Bid:  729, Rank:   373, Winnings:  271917
Strength 1, Cards:  11  6 12  3 12, Bid:  514, Rank:   372, Winnings:  191208
Strength 1, Cards:  11  6 10 11  8, Bid:  389, Rank:   371, Winnings:  144319
Strength 1, Cards:  11  6  2  5  6, Bid:  676, Rank:   370, Winnings:  250120
Strength 1, Cards:  11  5  5  7  3, Bid:  888, Rank:   369, Winnings:  327672
Strength 1, Cards:  11  5  2  4  2, Bid:  268, Rank:   368, Winnings:   98624
Strength 1, Cards:  11  4  4  3 13, Bid:  694, Rank:   367, Winnings:  254698
